feature,importance
age_tenure_interaction,0.12866744314006393
product_price,0.12348162114661815
product_category_encoded,0.12184398666734424
customer_tenure_days,0.11482474258234224
customer_age,0.1008077355417269
days_since_last_purchase,0.09931308598715603
product_rating,0.07566864129686902
return_rate,0.06413908313170462
price_discount_interaction,0.05171222347982789
size_encoded,0.037486616835952356
previous_returns,0.017615942204595173
is_frequent_buyer,0.011957025468709866
discount_applied,0.010016870857256105
is_high_price,0.009602350944446251
is_low_rating,0.00901424216209597
is_low_price,0.008386338036490706
is_high_rating,0.008341338552366205
is_new_customer,0.007120711964434398
